ticker_symbol,text,created_at,compound
AMZN,"RT @Stockpro1221: $AYTU inks deal with the US MILITARY AND GOVERNMENT!! 🚀🚀🚀

$APT $DECN $AMRN $TSLA $CYDY $MBRX $PACD $VAL $AMZN $CAPR $NIO…",2020-04-09 22:25:41+00:00,0
AMZN,Scan results - Cup with Handle today: $BDXA $EQC $RESI $PGR $JNJ $LLY $AMZN $RGEN $JKHY ... https://t.co/TE37Rk3BJ0,2020-04-09 22:06:06+00:00,0
AMZN,"$TSLA Next week $600+
$SPY $GILD $ABBV $PFE $TEVA $TDOC $VXX $UVXY $SVXY $SPX $GOOG $AMZN $FB https://t.co/z3R3HbxKE7",2020-04-09 21:56:15+00:00,0
AMZN,"Industrial
$Swir 
$insg 
$iivi 
$akts
$rmbs
$nvda

Healthcare
$tdoc 
$Lvgo 
$Dxcm 
$Edit 
$nvta 
$gh
$gild

Consumer discretionary
$amzn 
$Sq 
$Shop 
$pins 
$twou
$znga
$nflx

Technology
$zm
$okta 
$ayx 
$twlo 
$docu 
$estc 
$appn 
$work
$domo

Edge $spxu on/off add/deduct",2020-04-09 21:24:55+00:00,0
AMZN,"$VIX Game over...

$TSLA $SPY $GILD $ABBV $PFE $TEVA $TDOC $VXX $UVXY $SVXY $SPX $GOOG $AMZN $FB https://t.co/NdOyvKM46h https://t.co/jG67bFZmI1",2020-04-09 21:21:27+00:00,0
AMZN,"$SPY Eye on the prize...300
$TSLA $GILD $ABBV $PFE $TEVA $TDOC $VIX $VXX $UVXY $SVXY $SPX $GOOG $AMZN $FB https://t.co/rtS8HhBNWP https://t.co/VVue4EVK5t",2020-04-09 21:12:50+00:00,0
AMZN,$AMZN is building a Covid-19 test lab. https://t.co/lzsr4iGgXK,2020-04-09 20:54:55+00:00,0
AMZN,"@markcubanreal Says wait 4 $spy to settle  
$amzn
$nflx
$uvxy
$gld
$uso

Billionaire Mark Cuban explains how stock-market bears feel about bulls: ‘I don’t think they are really factoring in what they are going to see on the other side’ of coronavirus https://t.co/hB529YKCO9",2020-04-09 20:48:24+00:00,0
AMZN,5% day $AMZN,2020-04-09 20:27:12+00:00,0
AMZN,"Who's going to come in and purchase/save $AMC ??? $DIS $NFLX  $AMZN

@netflix @Disney @PrimeVideo https://t.co/kZRHo3Nwyq",2020-04-09 19:21:44+00:00,0
AMZN,@Fivetype1 Because $AMZN and $GOOG are part of most people's daily lives,2020-04-09 19:20:43+00:00,0
AMZN,@KeithMcCullough Need the Fed to step in and take $AMZN back to its 52 Week High,2020-04-09 18:56:47+00:00,0
AMZN,"#FAANG stock nation stand 🆙 The #ChartMaster @BenWatson_TDA analyzes $FB, $AMZN, $GOOGL https://t.co/AKfkselyQV",2020-04-09 18:46:41+00:00,0
AMZN,"@OptionsMike Mike, what's ur thought on $amzn??",2020-04-09 18:26:25+00:00,0
AMZN,RT @AnthonyMaceroni: $AMZN Monthly - sneaking in a little breakout attempt 😳... https://t.co/8UQyivbX9f,2020-04-09 18:18:00+00:00,0
AMZN,¿Ticker symbol for levered triple $amzn down?,2020-04-09 18:16:43+00:00,0
AMZN,How do I find stocks with high volatility and momentum on a stock screener? Ideas could be found in $GOOG $AMZN and $TSLA for example. https://t.co/kG2N52djup    #stocks #volatility,2020-04-09 18:15:01+00:00,0
AMZN,$AMZN $DIS $MSFT $JPM $XOM $SBUX $ZM $GOOGL $BA $GE $GOOG https://t.co/HUeKX8p9k2,2020-04-09 18:10:58+00:00,0
AMZN,There is a potential 30 min sell signal that is in flight which might carry it there... $AMZN,2020-04-09 18:05:13+00:00,0
AMZN,Can $AMZN deliver a breakout? Let's discuss... https://t.co/GVZIclo12r,2020-04-09 17:54:34+00:00,0
AMZN,$AMZN might acquire $CHWY?,2020-04-09 17:41:44+00:00,0
AMZN,@SB_Galactico go short $amzn,2020-04-09 17:31:53+00:00,0
AMZN,$AMZN relatively week today.,2020-04-09 17:31:11+00:00,0
AMZN,"RT @shawncj6: $AMZN back above 2030, see if it holds, key level",2020-04-09 17:10:14+00:00,0
AMZN,"💯👍time to replace $FANG with $WACT - $WMT $AMZN $COST $TGT  #deathofretail

cc: @JeffMacke https://t.co/m2h8hLMszZ https://t.co/oQutmQlQr2",2020-04-09 17:00:44+00:00,0
AMZN,Back out at 2.78-2.8 for another $400 $amzn - will flip again https://t.co/6vAdUa8oi1,2020-04-09 17:00:29+00:00,0
AMZN,"RT @BullRunOptions: Sweepers into today's exp.

-Yellow Exceeds current OI, in that sweep
-Purple Nearly exceeds OI in that sweep

$AMZN $T…",2020-04-09 17:00:27+00:00,0
AMZN,I consider this $AMZN chart indicative of overall state of market: https://t.co/6A4zr0c51h,2020-04-09 16:57:51+00:00,0
AMZN,Back in $AMZN 2050s for a fourth time... at 2.38,2020-04-09 16:56:34+00:00,0
AMZN,Flipped again for another 300 $amzn https://t.co/qfTnZoxWRp,2020-04-09 16:50:29+00:00,0
AMZN,"Shot across the bow for Cloud/software companies, $SAP guiding 2020 Cloud/Software revenue $1.2B below previous guidance. 

$GOOGL $AMZN $MSFT",2020-04-09 16:46:10+00:00,0
AMZN,RT @AnthonyMaceroni: $AMZN Monthly - sneaking in a little breakout attempt 😳... https://t.co/8UQyivbX9f,2020-04-09 16:32:25+00:00,0
AMZN,Took another $500 $amzn - I’ll re-enter again https://t.co/HEl3gRJjs8,2020-04-09 16:24:07+00:00,0
AMZN,Curl and pop this thing $amzn 4.75 on the ask,2020-04-09 16:22:25+00:00,0
AMZN,"RT @BarbarianCap: Hindsight and all... 
Eq weight L/S current condition winners/non-winners
Long: $AMZN $WMT $COST $GILD $CLX $PTON $TDOC $…",2020-04-09 16:18:08+00:00,0
AMZN,Could Etsy Be a Millionaire Maker Stock? @themotleyfool #stocks $ETSY $BRK.A $MSFT $AMZN $BRK.B https://t.co/4EbjZZMRHj,2020-04-09 16:16:06+00:00,0
AMZN,Sold here at 3.75 $amzn for a quick stack. Will re-enter https://t.co/kK8yy4LgWq,2020-04-09 16:08:06+00:00,0
AMZN,Come on $AMZN  you can do it! https://t.co/xV5coplLQ5,2020-04-09 16:00:21+00:00,0
AMZN,@TS01171980 Yeah he says he's in cash except for $AMZN $NFLX expects to go lower.,2020-04-09 15:54:22+00:00,0
AMZN,"All of these stocks are down today:  

$AMZN $FB $CAT $INTC $NVDA $JNJ -- basically the best stocks are down, and shit stocks are up. 

Which means this is a suckers rally.  All smart money is not buying on 4th day of Bear Market rally.",2020-04-09 15:52:58+00:00,0
AMZN,"RT @EliteOptions2: Good morning!

$SPX up 40 pts after unemployment #'s out.. let's see if it breaks through 2800 next

$AMZN now above the…",2020-04-09 15:48:42+00:00,0
AMZN,RT @60below: I just heard some shill on @HalftimeReport say to sell $amzn and buy $sbux 😂 so much trash on media. Learn how to read between…,2020-04-09 15:40:14+00:00,0
